mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,onsetTime,leftText,rightText,sliderDirection,face,lesion,block,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,originalFaceTrials.ran,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,OS,frameRate,participant,study_id,session,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,Task,LeftLabel,RightLabel
0.25,-0.09375,1,0,0,1.2755,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WM_212_097_N.png,LCHEEK,0,58.07291667,3.0666,0.045572917,-0.41796875,1,0,0,NextBu,0.962872177,0,0,0,0,1,603415af8ffaaa1ada99d014,female,47,black ,2022-07-28_17h17.01.669,FaceAttractiveness,2022.2.2,Win32,60.0528465,603415af8ffaaa1ada99d014,62e28ca91edcb69c59d3a196,62e2a2d3d95a7bc892890ae7,,,,,,,,
,,,,,6.0012,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_250_167_N.png,NASALTIP,0,41.66666667,2.0852,0.0546875,-0.377604167,1,0,0,NextBu,0.858419102,1,0,1,0,1,603415af8ffaaa1ada99d014,female,47,black ,2022-07-28_17h17.01.669,FaceAttractiveness,2022.2.2,Win32,60.0528465,603415af8ffaaa1ada99d014,62e28ca91edcb69c59d3a196,62e2a2d3d95a7bc892890ae7,,,,,,,,
,,,,,9.5973,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_200_099_N.png,NASALTIP,0,40.10416667,2.4457,-0.002604167,-0.368489583,1,0,0,NextBu,0.981172602,2,0,2,0,1,603415af8ffaaa1ada99d014,female,47,black ,2022-07-28_17h17.01.669,FaceAttractiveness,2022.2.2,Win32,60.0528465,603415af8ffaaa1ada99d014,62e28ca91edcb69c59d3a196,62e2a2d3d95a7bc892890ae7,,,,,,,,
,,,,,13.8423,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_002_004_N.png,NASALTIP,0,40.49479167,2.0775,0.001302083,-0.384114583,1,0,0,NextBu,0.568771207,3,0,3,0,1,603415af8ffaaa1ada99d014,female,47,black ,2022-07-28_17h17.01.669,FaceAttractiveness,2022.2.2,Win32,60.0528465,603415af8ffaaa1ada99d014,62e28ca91edcb69c59d3a196,62e2a2d3d95a7bc892890ae7,,,,,,,,
,,,,,17.1726,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_203_026_N.png,LCHEEK,0,60.67708333,2.028,0.037760417,-0.372395833,1,0,0,NextBu,0.703883201,4,0,4,0,1,603415af8ffaaa1ada99d014,female,47,black ,2022-07-28_17h17.01.669,FaceAttractiveness,2022.2.2,Win32,60.0528465,603415af8ffaaa1ada99d014,62e28ca91edcb69c59d3a196,62e2a2d3d95a7bc892890ae7,,,,,,,,
,,,,,20.6192,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_201_057_N.png,LIP,0,59.375,1.5035,0.015625,-0.404947917,1,0,0,NextBu,0.807614833,5,0,5,0,1,603415af8ffaaa1ada99d014,female,47,black ,2022-07-28_17h17.01.669,FaceAttractiveness,2022.2.2,Win32,60.0528465,603415af8ffaaa1ada99d014,62e28ca91edcb69c59d3a196,62e2a2d3d95a7bc892890ae7,,,,,,,,
,,,,,23.6497,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LF_224_176_N.png,FOREHEAD,0,63.02083333,2.0385,0.059895833,-0.390625,1,0,0,NextBu,0.587894848,6,0,6,0,1,603415af8ffaaa1ada99d014,female,47,black ,2022-07-28_17h17.01.669,FaceAttractiveness,2022.2.2,Win32,60.0528465,603415af8ffaaa1ada99d014,62e28ca91edcb69c59d3a196,62e2a2d3d95a7bc892890ae7,,,,,,,,
,,,,,26.8794,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_234_172_N.png,NASALTIP,0,34.375,2.4898,0.05859375,-0.43359375,1,0,0,NextBu,0.678274388,7,0,7,0,1,603415af8ffaaa1ada99d014,female,47,black ,2022-07-28_17h17.01.669,FaceAttractiveness,2022.2.2,Win32,60.0528465,603415af8ffaaa1ada99d014,62e28ca91edcb69c59d3a196,62e2a2d3d95a7bc892890ae7,,,,,,,,
,,,,,30.7094,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_213_134_N.png,RCHEEK,0,55.33854167,1.5144,0.02734375,-0.391927083,1,0,0,NextBu,0.525180607,8,0,8,0,1,603415af8ffaaa1ada99d014,female,47,black ,2022-07-28_17h17.01.669,FaceAttractiveness,2022.2.2,Win32,60.0528465,603415af8ffaaa1ada99d014,62e28ca91edcb69c59d3a196,62e2a2d3d95a7bc892890ae7,,,,,,,,
,,,,,33.3073,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BF_224_002_N.png,RCHEEK,0,61.328125,2.3874,0.03515625,-0.407552083,1,0,0,NextBu,0.523628614,9,0,9,0,1,603415af8ffaaa1ada99d014,female,47,black ,2022-07-28_17h17.01.669,FaceAttractiveness,2022.2.2,Win32,60.0528465,603415af8ffaaa1ada99d014,62e28ca91edcb69c59d3a196,62e2a2d3d95a7bc892890ae7,,,,,,,,
,,,,,36.8373,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BF_214_308_N.png,RCHEEK,0,63.671875,1.5997,0.036458333,-0.368489583,1,0,0,NextBu,0.917547574,10,0,10,0,1,603415af8ffaaa1ada99d014,female,47,black ,2022-07-28_17h17.01.669,FaceAttractiveness,2022.2.2,Win32,60.0528465,603415af8ffaaa1ada99d014,62e28ca91edcb69c59d3a196,62e2a2d3d95a7bc892890ae7,,,,,,,,
