mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,onsetTime,leftText,rightText,sliderDirection,face,lesion,block,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,originalFaceTrials.ran,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,OS,frameRate,participant,study_id,session,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,Task,LeftLabel,RightLabel
0.212037037,-0.046296296,1,0,0,4.7302,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WM_212_097_N.png,FOREHEAD,0,34.81481481,2.3208,-0.04537037,-0.394444444,1,0,0,NextBu,0.754673759,0,0,0,0,1,611968b71a9490ef313a564f,Female,45,White,2022-07-29_13h16.26.744,FaceAttractiveness,2022.2.2,Win32,59.13660556,611968b71a9490ef313a564f,62e28ca91edcb69c59d3a196,62e3cf73d79b1b9a0afc488c,,,,,,,,
,,,,,9.8505,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_250_167_N.png,LCHEEK,0,50.27777778,2.3615,0.011111111,-0.390740741,1,0,0,NextBu,0.643767836,1,0,1,0,1,611968b71a9490ef313a564f,Female,45,White,2022-07-29_13h16.26.744,FaceAttractiveness,2022.2.2,Win32,59.13660556,611968b71a9490ef313a564f,62e28ca91edcb69c59d3a196,62e3cf73d79b1b9a0afc488c,,,,,,,,
,,,,,13.6705,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_200_099_N.png,RCHEEK,0,49.81481481,1.5209,0.011111111,-0.410185185,1,0,0,NextBu,0.764231282,2,0,2,0,1,611968b71a9490ef313a564f,Female,45,White,2022-07-29_13h16.26.744,FaceAttractiveness,2022.2.2,Win32,59.13660556,611968b71a9490ef313a564f,62e28ca91edcb69c59d3a196,62e3cf73d79b1b9a0afc488c,,,,,,,,
,,,,,16.4899,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_002_004_N.png,LIP,0,37.87037037,2.893,-0.011111111,-0.390740741,1,0,0,NextBu,0.628460739,3,0,3,0,1,611968b71a9490ef313a564f,Female,45,White,2022-07-29_13h16.26.744,FaceAttractiveness,2022.2.2,Win32,59.13660556,611968b71a9490ef313a564f,62e28ca91edcb69c59d3a196,62e3cf73d79b1b9a0afc488c,,,,,,,,
,,,,,20.8441,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_203_026_N.png,LCHEEK,0,37.5,2.5174,-0.00462963,-0.388888889,1,0,0,NextBu,0.633082778,4,0,4,0,1,611968b71a9490ef313a564f,Female,45,White,2022-07-29_13h16.26.744,FaceAttractiveness,2022.2.2,Win32,59.13660556,611968b71a9490ef313a564f,62e28ca91edcb69c59d3a196,62e3cf73d79b1b9a0afc488c,,,,,,,,
,,,,,24.5974,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_201_057_N.png,LCHEEK,0,49.53703704,1.821,0.025925926,-0.4,1,0,0,NextBu,0.524320545,5,0,5,0,1,611968b71a9490ef313a564f,Female,45,White,2022-07-29_13h16.26.744,FaceAttractiveness,2022.2.2,Win32,59.13660556,611968b71a9490ef313a564f,62e28ca91edcb69c59d3a196,62e3cf73d79b1b9a0afc488c,,,,,,,,
,,,,,27.8017,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LF_224_176_N.png,NASALTIP,0,53.33333333,2.824,0.036111111,-0.374074074,1,0,0,NextBu,0.520860747,6,0,6,0,1,611968b71a9490ef313a564f,Female,45,White,2022-07-29_13h16.26.744,FaceAttractiveness,2022.2.2,Win32,59.13660556,611968b71a9490ef313a564f,62e28ca91edcb69c59d3a196,62e3cf73d79b1b9a0afc488c,,,,,,,,
,,,,,31.7049,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_234_172_N.png,LCHEEK,0,57.5,2.0376,0.02962963,-0.4,1,0,0,NextBu,0.583638857,7,0,7,0,1,611968b71a9490ef313a564f,Female,45,White,2022-07-29_13h16.26.744,FaceAttractiveness,2022.2.2,Win32,59.13660556,611968b71a9490ef313a564f,62e28ca91edcb69c59d3a196,62e3cf73d79b1b9a0afc488c,,,,,,,,
,,,,,34.8607,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_213_134_N.png,RCHEEK,0,50.18518519,2.0686,0.013888889,-0.394444444,1,0,0,NextBu,0.548726691,8,0,8,0,1,611968b71a9490ef313a564f,Female,45,White,2022-07-29_13h16.26.744,FaceAttractiveness,2022.2.2,Win32,59.13660556,611968b71a9490ef313a564f,62e28ca91edcb69c59d3a196,62e3cf73d79b1b9a0afc488c,,,,,,,,
,,,,,37.9646,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BF_224_002_N.png,LIP,0,49.72222222,2.2447,0.005555556,-0.387037037,1,0,0,NextBu,0.784378865,9,0,9,0,1,611968b71a9490ef313a564f,Female,45,White,2022-07-29_13h16.26.744,FaceAttractiveness,2022.2.2,Win32,59.13660556,611968b71a9490ef313a564f,62e28ca91edcb69c59d3a196,62e3cf73d79b1b9a0afc488c,,,,,,,,
