mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,onsetTime,leftText,rightText,sliderDirection,face,lesion,block,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,originalFaceTrials.ran,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,OS,frameRate,participant,study_id,session,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,Task,LeftLabel,RightLabel
0.418518519,-0.221296296,1,0,0,5.6155,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WM_212_097_N.png,RCHEEK,0,24.16666667,3.9362,0.046296296,-0.410185185,1,0,0,NextBu,0.690930261,0,0,0,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,10.914,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_250_167_N.png,RCHEEK,0,16.75925926,1.5477,0.032407407,-0.406481481,1,0,0,NextBu,0.782291179,1,0,1,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,13.747,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_200_099_N.png,NASALTIP,0,20.74074074,2.5231,-0.000925926,-0.403703704,1,0,0,NextBu,0.93499149,2,0,2,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,17.7805,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_002_004_N.png,LCHEEK,0,9.074074074,1.5453,-0.009259259,-0.406481481,1,0,0,NextBu,0.669679826,3,0,3,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,20.5145,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_203_026_N.png,LIP,0,39.07407407,2.1886,0.034259259,-0.42037037,1,0,0,NextBu,0.611815911,4,0,4,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,23.764,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_201_057_N.png,LIP,0,37.59259259,2.5296,-0.05,-0.374074074,1,0,0,NextBu,0.847013346,5,0,5,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,27.5306,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LF_224_176_N.png,LIP,0,29.25925926,2.4045,-0.048148148,-0.359259259,1,0,0,NextBu,0.738809284,6,0,6,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,31.1305,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_234_172_N.png,FOREHEAD,0,51.57407407,2.9316,0.068518519,-0.427777778,1,0,0,NextBu,0.722275777,7,0,7,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,35.2305,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_213_134_N.png,LIP,0,30.74074074,2.0394,-0.021296296,-0.393518519,1,0,0,NextBu,0.733079224,8,0,8,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,38.4973,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BF_224_002_N.png,LIP,0,20.74074074,3.3415,-0.012037037,-0.385185185,1,0,0,NextBu,0.923466079,9,0,9,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,43.1141,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BF_214_308_N.png,LIP,0,48.7037037,3.5715,0.041666667,-0.382407407,1,0,0,NextBu,0.578738721,10,0,10,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,47.6808,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_AM_233_236_N.png,LIP,0,41.2037037,1.5731,0.003703704,-0.378703704,1,0,0,NextBu,0.934287738,11,0,11,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,50.5477,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_AF_245_143_N.png,LCHEEK,0,52.5,2.1951,0.039814815,-0.400925926,1,0,0,NextBu,0.593857156,12,0,12,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,53.7475,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_AF_237_223_N.png,LCHEEK,0,53.88888889,1.7393,0.022222222,-0.4,1,0,0,NextBu,0.730504667,13,0,13,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,56.6308,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_AF_231_357_N.png,LCHEEK,0,29.07407407,1.9443,-0.008333333,-0.376851852,1,0,0,NextBu,0.683959311,14,0,14,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,59.6807,Extremely Unattractive,Extremely  Attractive,mirrored,136_M_M_N_A.png,LCHEEK,0,45.46296296,1.7734,0.025,-0.37962963,1,0,0,NextBu,0.741054495,15,0,15,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,62.5807,Extremely Unattractive,Extremely  Attractive,mirrored,087_M_M_N_A.png,NASALTIP,0,54.25925926,1.6062,0.028703704,-0.394444444,1,0,0,NextBu,0.766303103,16,0,16,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,65.3973,Extremely Unattractive,Extremely  Attractive,mirrored,035_M_F_N_A.png,NASALTIP,0,17.22222222,1.5874,0,-0.391666667,1,0,0,NextBu,0.634025378,17,0,17,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,68.0975,Extremely Unattractive,Extremely  Attractive,mirrored,006_M_F_N_A.png,NASALTIP,0,40.83333333,2.4285,0.028703704,-0.377777778,1,0,0,NextBu,0.865152625,18,0,18,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,71.7808,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WM_212_097_N.png,LIP,1,36.01851852,1.729,0.003703704,-0.415740741,1,0,0,NextBu,0.972373251,19,0,19,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
,,,,,74.9976,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_250_167_N.png,FOREHEAD,1,19.72222222,1.8639,0.007407407,-0.378703704,1,0,0,NextBu,0.700282048,20,0,20,0,1,Can you ask this? ,M,36,White,2022-07-28_15h44.46.337,FaceAttractiveness,2022.2.2,Win32,59.74429442,62d28f109e5c437c89dac211,62e28ca91edcb69c59d3a195,62e2a12ef1fa5a067e6b0849,,,,,,,,
