mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,onsetTime,leftText,rightText,sliderDirection,face,lesion,block,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,originalFaceTrials.ran,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,OS,frameRate,participant,study_id,session,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,Task,LeftLabel,RightLabel
0.096115451,-0.231582755,1,0,0,1.6675,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WM_212_097_N.png,LIP,0,40.0495515,1.1185,-0.033807147,-0.364525463,1,0,0,NextBu,0.840564695,0,0,0,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,4.1483,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_250_167_N.png,FOREHEAD,0,84.88172743,1.1063,0.082139757,-0.362228733,1,0,0,NextBu,0.812462551,1,0,1,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,6.3804,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_200_099_N.png,RCHEEK,0,34.55041956,0.7493,-0.064840133,-0.402481192,1,0,0,NextBu,0.549983451,2,0,2,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,7.9138,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_WF_002_004_N.png,LIP,0,38.99884259,0.6749,-0.049678096,-0.385608362,1,0,0,NextBu,0.963488485,3,0,3,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,9.7148,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_203_026_N.png,NASALTIP,0,40.23546007,0.6407,-0.021285446,-0.402379919,1,0,0,NextBu,0.787428344,4,0,4,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,11.3147,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LM_201_057_N.png,NASALTIP,0,42.37123843,0.6573,-0.047113715,-0.404908131,1,0,0,NextBu,0.813874952,5,0,5,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,12.9638,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_LF_224_176_N.png,FOREHEAD,0,42.99189815,0.9266,-0.025701678,-0.378873698,1,0,0,NextBu,0.890517232,6,0,6,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,14.9483,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_234_172_N.png,FOREHEAD,0,44.91934317,0.5874,-0.01646412,-0.376768663,1,0,0,NextBu,0.657306327,7,0,7,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,16.3639,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BM_213_134_N.png,FOREHEAD,0,32.65769676,0.7817,-0.038480179,-0.363096788,1,0,0,NextBu,0.747352297,8,0,8,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,18.1141,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BF_224_002_N.png,FOREHEAD,0,43.28378183,0.5953,-0.034548611,-0.359255642,1,0,0,NextBu,0.803677542,9,0,9,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,19.747,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_BF_214_308_N.png,LIP,0,41.22540509,0.46,-0.036574074,-0.361527054,1,0,0,NextBu,0.597987523,10,0,10,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,21.013,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_AM_233_236_N.png,NASALTIP,0,43.46137153,0.7242,-0.022884115,-0.396100984,1,0,0,NextBu,0.532245143,11,0,11,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,22.4309,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_AF_245_143_N.png,FOREHEAD,0,41.04781539,0.6309,-0.042469618,-0.368923611,1,0,0,NextBu,0.956646192,12,0,12,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,24.1801,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_AF_237_223_N.png,LCHEEK,0,45.38592303,0.9787,-0.008662471,-0.400679977,1,0,0,NextBu,0.568335763,13,0,13,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,25.9138,Extremely Unattractive,Extremely  Attractive,mirrored,CFD_AF_231_357_N.png,LCHEEK,0,40.74544271,0.8072,-0.016814959,-0.418869358,1,0,0,NextBu,0.843784957,14,0,14,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,27.814,Extremely Unattractive,Extremely  Attractive,mirrored,136_M_M_N_A.png,LIP,0,39.47952836,0.6707,-0.06422526,-0.369759115,1,0,0,NextBu,0.849718519,15,0,15,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
,,,,,29.5138,Extremely Unattractive,Extremely  Attractive,mirrored,087_M_M_N_A.png,LIP,0,43.44762731,0.5566,-0.037018953,-0.377144821,1,0,0,NextBu,0.700379872,16,0,16,0,1,,,,,2022-07-28_10h29.45.651,FaceAttractiveness,2022.2.2,MacIntel,60.0024001,60c6b3ea487c6f366b92e5e3,62dfe6a3e28b448cf3e9d0db,0mkbetpw4h7,,,,,,,,
